name,x1,x2,y1,y2,classname
3134.png,248,6,489,348,face_with_mask
4557.png,208,99,263,174,face_with_mask
4557.png,369,0,400,49,face_with_mask
4649.png,624,11,978,459,face_with_mask
2605.png,369,126,414,189,face_with_mask
2806.png,313,101,377,190,face_with_mask
2634.png,267,6,406,147,face_with_mask
4371.png,94,5,403,400,face_with_mask
4696.png,447,61,529,174,face_with_mask
3309.png,184,171,251,258,face_with_mask
3309.png,301,125,373,214,face_with_mask
4439.png,63,15,560,597,face_with_mask
2170.png,203,65,485,431,face_with_mask
3514.png,171,103,381,306,face_with_mask
4200.png,98,58,489,521,face_with_mask
2466.png,13,6,287,285,face_with_mask
2148.jpg,557,106,697,266,face_with_mask
3685.png,493,41,816,417,face_with_mask
3685.png,0,65,208,440,face_with_mask
5463.jpg,478,9,1357,1007,face_with_mask
3104.png,344,64,558,247,face_with_mask
2012.jpg,91,158,316,447,face_with_mask
2352.png,231,164,414,446,face_with_mask
2352.png,6,11,261,470,face_with_mask
4262.png,317,11,583,325,face_with_mask
2841.png,422,4,957,519,face_with_mask
2177.png,387,130,525,321,face_with_mask
4130.png,140,30,513,510,face_with_mask
4495.png,242,208,296,279,face_with_mask
3692.png,232,179,342,309,face_with_mask
3692.png,765,150,847,255,face_with_mask
4043.png,40,23,392,461,face_with_mask
4043.png,365,60,516,272,face_with_mask
2704.png,110,36,482,487,face_with_mask
4966.png,253,8,549,427,face_with_mask
2293.png,417,353,458,395,face_with_mask
2293.png,532,335,627,426,face_with_mask
2293.png,680,340,759,427,face_with_mask
3124.png,355,100,460,243,face_with_mask
3942.png,572,97,658,213,face_with_mask
2046.jpg,618,153,830,401,face_with_mask
2048.jpg,428,291,550,477,face_with_mask
2048.jpg,273,236,457,444,face_with_mask
5110.jpg,248,71,615,535,face_with_mask
4407.png,56,6,389,382,face_with_mask
2236.png,165,3,620,536,face_with_mask
5356.jpg,902,175,1171,506,face_with_mask
1924.jpg,555,78,795,386,face_with_mask
1924.jpg,884,241,1078,468,face_with_mask
1924.jpg,185,248,353,448,face_with_mask
2980.png,244,56,441,282,face_with_mask
4325.png,301,87,341,150,face_with_mask
4325.png,155,88,213,156,face_with_mask
4325.png,86,85,153,176,face_with_mask
4325.png,367,88,452,189,face_with_mask
5440.jpg,363,2,1017,601,face_with_mask
4894.png,44,211,335,620,face_with_mask
3141.png,105,110,378,499,face_with_mask
2719.png,404,47,835,637,face_with_mask
1828.jpg,157,62,837,1079,face_with_mask
2405.png,404,157,472,237,face_with_mask
3294.png,409,272,468,340,face_with_mask
4134.png,295,85,347,159,face_with_mask
4134.png,393,144,444,204,face_with_mask
3887.png,83,181,189,291,face_with_mask
4278.png,275,144,411,315,face_with_mask
1849.jpg,435,58,544,195,face_with_mask
1849.jpg,408,13,554,181,face_with_mask
5150.jpg,364,46,550,295,face_with_mask
5150.jpg,94,46,309,327,face_with_mask
3711.png,66,82,410,521,face_with_mask
4413.png,280,54,605,459,face_with_mask
4214.png,379,20,525,197,face_with_mask
4214.png,561,67,686,203,face_with_mask
4214.png,383,20,523,195,face_with_mask
4214.png,558,67,691,204,face_with_mask
2471.png,156,29,270,177,face_with_mask
3396.png,93,7,641,610,face_with_mask
2791.png,207,63,339,240,face_with_mask
2398.png,107,46,424,424,face_with_mask
2935.png,390,0,445,85,face_with_mask
2935.png,73,245,215,362,face_with_mask
3578.png,213,20,415,311,face_with_mask
3540.png,93,0,620,601,face_with_mask
4912.png,346,20,503,216,face_with_mask
4301.png,155,182,249,298,face_with_mask
4301.png,323,137,547,470,face_with_mask
3727.png,274,151,349,243,face_with_mask
3727.png,208,91,268,180,face_with_mask
3727.png,439,114,514,205,face_with_mask
3727.png,108,171,238,315,face_with_mask
3727.png,496,141,525,243,face_with_mask
2740.png,138,188,284,371,face_with_mask
4834.png,125,0,332,210,face_with_mask
3515.png,391,317,425,350,face_with_mask
2741.png,219,163,296,250,face_with_mask
2741.png,333,65,388,118,face_with_mask
2741.png,39,146,74,191,face_with_mask
2741.png,460,174,515,258,face_with_mask
2741.png,269,125,294,163,face_with_mask
2741.png,0,142,28,176,face_with_mask
4114.png,336,138,640,530,face_with_mask
4114.png,69,5,353,264,face_with_mask
4598.png,82,213,385,654,face_with_mask
1950.jpg,680,8,838,223,face_with_mask
1950.jpg,403,51,489,152,face_with_mask
3758.png,112,4,455,441,face_with_mask
4081.png,366,75,418,152,face_with_mask
4081.png,179,49,242,130,face_with_mask
2178.png,8,0,303,327,face_with_mask
3307.png,221,32,316,161,face_with_mask
3020.png,361,58,434,143,face_with_mask
3020.png,580,41,655,127,face_with_mask
3020.png,451,57,525,134,face_with_mask
3687.png,147,87,230,201,face_with_mask
3687.png,244,133,301,217,face_with_mask
3687.png,5,145,63,264,face_with_mask
3394.png,185,6,613,410,face_with_mask
3895.png,403,178,439,222,face_with_mask
4836.png,658,9,1144,660,face_with_mask
2151.jpg,79,66,200,162,face_with_mask
2151.jpg,518,44,582,113,face_with_mask
2151.jpg,581,54,636,132,face_with_mask
2151.jpg,472,109,549,188,face_with_mask
5202.jpg,314,49,506,299,face_with_mask
3161.png,128,1,521,551,face_with_mask
3904.png,503,151,598,303,face_with_mask
4970.png,14,4,514,607,face_with_mask
4686.png,182,0,541,547,face_with_mask
4071.png,331,115,371,219,face_with_mask
4071.png,571,5,676,110,face_with_mask
5154.jpeg,603,19,901,471,face_with_mask
4340.png,210,41,467,352,face_with_mask
2018.jpg,1365,415,1500,879,face_with_mask
3529.png,91,2,693,616,face_with_mask
3691.png,158,90,214,175,face_with_mask
2069.jpg,312,223,694,728,face_with_mask
4405.png,544,6,639,74,face_with_mask
3189.png,316,11,398,123,face_with_mask
3971.png,353,31,617,271,face_with_mask
3971.png,392,312,577,494,face_with_mask
3461.png,228,183,339,339,face_with_mask
3461.png,614,78,737,250,face_with_mask
3312.png,251,111,321,195,face_with_mask
3312.png,83,70,131,135,face_with_mask
3312.png,452,86,482,161,face_with_mask
3312.png,249,24,291,87,face_with_mask
3535.png,12,0,415,427,face_with_mask
3703.png,148,1,608,545,face_with_mask
2496.png,357,26,469,192,face_with_mask
2496.png,186,170,300,306,face_with_mask
5713.jpg,378,41,858,535,face_with_mask
3183.png,134,32,245,183,face_with_mask
3788.png,210,78,243,122,face_with_mask
3788.png,115,107,151,149,face_with_mask
3751.png,60,18,422,460,face_with_mask
3759.png,127,5,627,608,face_with_mask
4720.png,402,97,520,237,face_with_mask
2329.png,240,208,286,270,face_with_mask
4767.png,547,51,634,167,face_with_mask
4767.png,469,81,537,186,face_with_mask
4767.png,122,184,186,268,face_with_mask
4767.png,1,95,59,212,face_with_mask
4767.png,431,149,458,227,face_with_mask
3390.png,54,127,385,632,face_with_mask
5167.jpg,393,126,674,420,face_with_mask
4229.png,91,0,345,377,face_with_mask
4063.png,262,7,647,468,face_with_mask
2058.jpg,216,92,387,320,face_with_mask
2058.jpg,586,9,740,189,face_with_mask
1917.jpg,83,28,232,196,face_with_mask
2566.png,240,110,375,266,face_with_mask
2566.png,486,81,613,244,face_with_mask
4613.png,338,79,434,211,face_with_mask
4613.png,254,101,338,232,face_with_mask
4613.png,156,105,275,260,face_with_mask
4613.png,0,21,177,250,face_with_mask
4468.png,163,155,499,590,face_with_mask
5228.jpeg,103,79,209,207,face_with_mask
5228.jpeg,388,77,532,271,face_with_mask
5228.jpeg,600,271,872,478,face_with_mask
4419.png,82,8,467,425,face_with_mask
4614.png,572,126,887,531,face_with_mask
3101.png,123,6,527,524,face_with_mask
3533.png,111,0,357,274,face_with_mask
4572.png,204,11,694,402,face_with_mask
4779.png,200,90,254,169,face_with_mask
3509.png,107,142,254,284,face_with_mask
3509.png,294,123,448,306,face_with_mask
3783.png,241,200,318,294,face_with_mask
2853.png,320,64,420,202,face_with_mask
2768.png,33,73,502,669,face_with_mask
4255.png,147,8,567,478,face_with_mask
4260.png,210,11,613,548,face_with_mask
3618.png,2,1,727,810,face_with_mask
5174.jpg,300,44,714,486,face_with_mask
3964.png,92,49,418,526,face_with_mask
3450.png,114,26,495,583,face_with_mask
2800.png,165,12,254,98,face_with_mask
1880.jpg,1559,124,4342,3301,face_with_mask
3136.png,321,62,391,160,face_with_mask
4917.png,346,84,446,225,face_with_mask
3279.png,308,134,551,446,face_with_mask
5217.jpg,1130,1205,1875,2038,face_with_mask
2399.png,95,154,401,619,face_with_mask
2948.png,250,49,383,213,face_with_mask
3351.png,212,104,259,168,face_with_mask
3351.png,27,72,89,140,face_with_mask
2193.png,79,9,422,413,face_with_mask
2193.png,363,200,652,616,face_with_mask
1891.jpg,255,3,517,354,face_with_mask
4069.png,230,37,331,172,face_with_mask
2776.png,165,72,478,400,face_with_mask
4853.png,6,6,249,380,face_with_mask
4853.png,243,242,338,400,face_with_mask
4853.png,319,230,386,295,face_with_mask
4853.png,581,235,645,324,face_with_mask
4853.png,593,437,693,577,face_with_mask
5219.jpg,428,8,483,67,face_with_mask
5219.jpg,324,45,373,103,face_with_mask
5219.jpg,197,42,242,91,face_with_mask
5219.jpg,317,156,358,223,face_with_mask
5219.jpg,9,0,67,64,face_with_mask
4131.png,125,130,365,447,face_with_mask
2203.png,52,34,383,503,face_with_mask
2639.png,158,1,899,619,face_with_mask
2408.png,225,77,456,430,face_with_mask
2537.png,456,80,781,494,face_with_mask
2762.png,51,1,609,611,face_with_mask
5397.jpg,601,110,1314,1155,face_with_mask
5243.jpg,746,182,3084,2662,face_with_mask
1838.jpg,682,132,755,220,face_with_mask
1838.jpg,570,95,648,189,face_with_mask
1838.jpg,403,80,482,175,face_with_mask
1838.jpg,256,90,328,179,face_with_mask
1962.png,127,102,455,530,face_with_mask
4865.png,463,250,528,335,face_with_mask
4865.png,208,126,258,194,face_with_mask
3370.png,244,113,340,251,face_with_mask
4700.png,365,102,491,264,face_with_mask
1899.jpeg,157,70,371,311,face_with_mask
4695.png,665,123,750,236,face_with_mask
3928.png,198,52,283,169,face_with_mask
3439.png,203,6,645,436,face_with_mask
5102.jpg,249,5,356,134,face_with_mask
1974.jpg,1050,51,1613,691,face_with_mask
1974.jpg,264,263,776,830,face_with_mask
4410.png,22,162,297,499,face_with_mask
4410.png,288,183,487,455,face_with_mask
3912.png,161,47,495,520,face_with_mask
4286.png,61,6,463,508,face_with_mask
4868.png,523,177,640,315,face_with_mask
4868.png,120,180,228,309,face_with_mask
5159.jpg,1330,557,1663,902,face_with_mask
5159.jpg,2607,753,2958,1187,face_with_mask
6395.jpeg,269,43,646,498,face_with_mask
3622.png,386,79,489,203,face_with_mask
4338.png,167,19,493,439,face_with_mask
5116.jpg,303,95,489,317,face_with_mask
2833.png,211,5,578,490,face_with_mask
1912.jpg,501,51,573,140,face_with_mask
1912.jpg,506,37,594,125,face_with_mask
3799.png,416,55,550,254,face_with_mask
5157.jpg,271,17,559,436,face_with_mask
4357.png,202,123,246,184,face_with_mask
4491.png,0,117,125,357,face_with_mask
4491.png,112,160,254,397,face_with_mask
4491.png,408,109,503,238,face_with_mask
2158.png,137,26,556,567,face_with_mask
2418.png,225,5,481,312,face_with_mask
2728.png,154,5,469,386,face_with_mask
2983.png,226,3,698,484,face_with_mask
1843.jpg,251,135,730,667,face_with_mask
3376.png,26,223,83,301,face_with_mask
3376.png,76,182,135,256,face_with_mask
3376.png,191,194,254,270,face_with_mask
3376.png,281,203,340,278,face_with_mask
3376.png,363,198,420,284,face_with_mask
3376.png,418,210,463,269,face_with_mask
4165.png,330,195,540,392,face_with_mask
2716.png,129,47,276,262,face_with_mask
2860.png,374,81,440,160,face_with_mask
2860.png,405,233,457,291,face_with_mask
2860.png,148,111,188,156,face_with_mask
2860.png,9,98,57,156,face_with_mask
5064.jpg,142,23,476,455,face_with_mask
5064.jpg,764,136,985,445,face_with_mask
5064.jpg,977,32,1363,591,face_with_mask
2557.png,87,34,538,447,face_with_mask
2233.png,309,101,449,253,face_with_mask
6430.png,370,0,559,235,face_with_mask
3440.png,88,32,485,539,face_with_mask
4692.png,170,50,542,546,face_with_mask
4913.png,103,10,468,418,face_with_mask
3974.png,655,14,957,459,face_with_mask
3974.png,214,94,567,468,face_with_mask
2877.png,413,29,532,173,face_with_mask
2227.png,364,111,498,279,face_with_mask
4934.png,422,25,503,123,face_with_mask
2939.png,192,1,318,197,face_with_mask
3675.png,140,6,304,174,face_with_mask
3675.png,405,166,565,378,face_with_mask
3176.png,331,253,391,321,face_with_mask
3176.png,158,323,174,339,face_with_mask
3176.png,441,330,448,340,face_with_mask
3126.png,248,4,391,219,face_with_mask
3126.png,592,37,831,328,face_with_mask
4713.png,497,239,574,326,face_with_mask
3385.png,163,26,480,458,face_with_mask
4677.png,297,16,359,103,face_with_mask
4677.png,506,11,577,85,face_with_mask
3660.png,237,97,466,435,face_with_mask
3660.png,6,112,205,363,face_with_mask
3612.png,24,201,107,307,face_with_mask
3612.png,97,230,170,331,face_with_mask
3612.png,316,266,373,335,face_with_mask
3612.png,173,270,218,336,face_with_mask
3083.png,328,174,394,252,face_with_mask
4991.jpg,412,25,815,608,face_with_mask
3947.png,91,3,508,568,face_with_mask
1983.jpg,435,82,642,323,face_with_mask
4113.png,409,59,564,287,face_with_mask
3997.png,96,28,403,353,face_with_mask
3064.png,97,116,196,241,face_with_mask
3064.png,509,230,592,356,face_with_mask
3779.png,305,111,335,150,face_with_mask
1971.jpg,263,33,391,181,face_with_mask
2296.png,373,15,546,199,face_with_mask
2053.jpg,520,68,657,231,face_with_mask
2053.jpg,304,37,471,210,face_with_mask
2053.jpg,57,135,212,321,face_with_mask
3486.png,173,0,540,402,face_with_mask
1986.jpg,210,269,700,918,face_with_mask
1986.jpg,820,30,1480,785,face_with_mask
2688.png,230,7,632,312,face_with_mask
3410.png,426,57,531,196,face_with_mask
4148.png,275,5,722,534,face_with_mask
2448.png,106,113,131,149,face_with_mask
2448.png,173,122,208,162,face_with_mask
2448.png,337,118,371,154,face_with_mask
2448.png,244,126,277,165,face_with_mask
4044.png,586,116,731,307,face_with_mask
3350.png,259,78,369,206,face_with_mask
3350.png,454,7,559,149,face_with_mask
3350.png,624,5,740,142,face_with_mask
3350.png,88,91,204,211,face_with_mask
3350.png,777,98,811,214,face_with_mask
5019.jpg,100,109,239,292,face_with_mask
3553.png,180,69,370,336,face_with_mask
2502.png,430,85,581,242,face_with_mask
4545.png,174,8,697,485,face_with_mask
4212.png,348,4,744,528,face_with_mask
4212.png,315,2,739,529,face_with_mask
3579.png,207,143,272,228,face_with_mask
3579.png,301,103,383,202,face_with_mask
3579.png,420,309,495,400,face_with_mask
5193.jpg,3460,33,4737,1798,face_with_mask
2279.png,82,180,357,432,face_with_mask
2279.png,0,9,77,301,face_with_mask
3014.png,318,8,416,161,face_with_mask
5065.jpg,1519,1148,2521,2666,face_with_mask
3120.png,135,285,163,319,face_with_mask
3120.png,400,282,415,304,face_with_mask
4358.png,374,44,510,215,face_with_mask
4846.png,254,145,412,371,face_with_mask
4444.png,269,142,369,274,face_with_mask
1976.jpg,778,99,1338,793,face_with_mask
2842.png,86,0,519,443,face_with_mask
3071.png,159,48,403,322,face_with_mask
4365.png,234,1,359,146,face_with_mask
4365.png,35,204,292,532,face_with_mask
4365.png,1,122,110,299,face_with_mask
3839.png,61,135,334,455,face_with_mask
3878.png,78,64,397,503,face_with_mask
3878.png,364,256,604,576,face_with_mask
4859.png,298,48,388,164,face_with_mask
2173.png,212,50,413,324,face_with_mask
4607.png,408,186,682,585,face_with_mask
4995.jpg,186,70,291,232,face_with_mask
2500.png,373,13,484,157,face_with_mask
3295.png,481,57,575,160,face_with_mask
3184.png,244,87,458,310,face_with_mask
3184.png,119,88,213,199,face_with_mask
6421.png,271,23,436,290,face_with_mask
3869.png,266,68,469,352,face_with_mask
4424.png,352,38,526,228,face_with_mask
4146.png,81,68,543,514,face_with_mask
2890.png,16,88,157,264,face_with_mask
3852.png,84,3,575,600,face_with_mask
2344.png,155,132,238,227,face_with_mask
2344.png,528,44,614,173,face_with_mask
2734.png,378,100,427,165,face_with_mask
4907.png,178,112,535,582,face_with_mask
3952.png,212,4,584,508,face_with_mask
3651.png,166,26,530,501,face_with_mask
3674.png,1,2,286,305,face_with_mask
3041.png,87,2,515,519,face_with_mask
2769.png,276,6,363,111,face_with_mask
4944.png,354,116,549,374,face_with_mask
5615.jpg,106,47,532,547,face_with_mask
3750.png,94,4,535,543,face_with_mask
2121.jpg,183,28,358,261,face_with_mask
4646.png,300,112,422,248,face_with_mask
3524.png,280,160,330,222,face_with_mask
3524.png,184,188,228,240,face_with_mask
3524.png,94,175,130,224,face_with_mask
3524.png,462,243,508,294,face_with_mask
3524.png,459,173,486,215,face_with_mask
3524.png,30,181,51,215,face_with_mask
4744.png,115,8,572,598,face_with_mask
5210.jpg,1578,1376,2153,1870,face_with_mask
4655.png,3,14,128,349,face_with_mask
2592.png,4,0,835,625,face_with_mask
2515.png,101,40,251,266,face_with_mask
2515.png,412,29,464,229,face_with_mask
2451.png,255,78,346,193,face_with_mask
2134.jpg,1243,150,1593,465,face_with_mask
3532.png,22,3,453,491,face_with_mask
3851.png,186,145,454,517,face_with_mask
2152.jpg,150,40,328,290,face_with_mask
2152.jpg,499,59,673,327,face_with_mask
3987.png,127,19,191,89,face_with_mask
2180.png,325,171,391,252,face_with_mask
2180.png,5,245,64,310,face_with_mask
4036.png,112,6,451,354,face_with_mask
5300.jpeg,1442,274,1613,478,face_with_mask
4589.png,65,9,506,579,face_with_mask
2619.png,766,301,908,473,face_with_mask
2619.png,102,5,542,369,face_with_mask
5221.jpeg,209,150,544,579,face_with_mask
2365.png,430,38,535,201,face_with_mask
2365.png,713,71,796,184,face_with_mask
4885.png,82,52,411,462,face_with_mask
2406.png,192,445,280,546,face_with_mask
3919.png,172,4,587,588,face_with_mask
2261.png,4,67,278,382,face_with_mask
2261.png,463,82,622,299,face_with_mask
5093.jpg,592,32,691,154,face_with_mask
4140.png,94,43,282,321,face_with_mask
2772.png,305,140,509,357,face_with_mask
4571.png,88,8,498,612,face_with_mask
2049.jpg,839,611,1994,2139,face_with_mask
1963.png,139,60,428,426,face_with_mask
3837.png,222,129,518,522,face_with_mask
5067.jpg,62,74,439,529,face_with_mask
3209.png,306,22,675,541,face_with_mask
3435.png,85,0,390,466,face_with_mask
3251.png,136,176,400,529,face_with_mask
2712.png,170,7,580,545,face_with_mask
3572.png,96,257,147,326,face_with_mask
3572.png,250,275,296,338,face_with_mask
3984.png,354,74,470,201,face_with_mask
4773.png,379,83,539,265,face_with_mask
3521.png,5,130,194,392,face_with_mask
3363.png,406,10,648,249,face_with_mask
4372.png,118,4,357,325,face_with_mask
4977.png,718,154,761,205,face_with_mask
4977.png,401,162,469,242,face_with_mask
4519.png,153,118,224,205,face_with_mask
2987.png,258,76,502,440,face_with_mask
3341.png,54,87,297,397,face_with_mask
5475.jpg,710,188,1086,625,face_with_mask
2562.png,650,90,705,173,face_with_mask
2562.png,358,84,424,181,face_with_mask
2562.png,89,6,179,109,face_with_mask
5049.jpg,391,108,667,504,face_with_mask
4866.png,693,157,740,210,face_with_mask
4866.png,647,148,689,194,face_with_mask
4866.png,600,134,638,173,face_with_mask
