,name,x1,x2,y1,y2,classname
142,2965.png,159,89,490,586,face_with_mask
148,5212.jpg,1657,3208,2015,3625,face_with_mask
154,4125.png,159,71,454,520,face_with_mask
162,3160.png,63,6,397,398,face_with_mask
166,4221.png,0,40,252,343,face_with_mask
167,4221.png,298,120,524,499,face_with_mask
169,4221.png,287,119,520,499,face_with_mask
171,4221.png,0,41,251,343,face_with_mask
175,6403.png,612,0,1112,779,face_with_mask
176,4019.png,207,123,296,242,face_with_mask
186,4931.png,133,67,486,407,face_with_mask
190,4729.png,869,122,1016,292,face_with_mask
191,4729.png,261,47,382,225,face_with_mask
196,4538.png,0,38,211,345,face_with_mask
197,4538.png,322,51,523,325,face_with_mask
198,4538.png,192,178,376,446,face_with_mask
213,2194.png,230,58,399,254,face_with_mask
216,4153.png,495,99,712,364,face_with_mask
217,4153.png,290,92,481,322,face_with_mask
218,4153.png,74,203,272,394,face_with_mask
228,3337.png,231,3,673,389,face_with_mask
230,3369.png,97,4,371,268,face_with_mask
231,3369.png,185,166,513,596,face_with_mask
247,4674.png,9,184,146,380,face_with_mask
248,4674.png,318,108,445,294,face_with_mask
249,4674.png,221,138,320,287,face_with_mask
255,3166.png,64,126,449,464,face_with_mask
259,4031.png,47,3,356,365,face_with_mask
261,2492.png,157,98,202,152,face_with_mask
267,2492.png,349,80,387,126,face_with_mask
268,2492.png,304,88,331,129,face_with_mask
276,2388.png,139,39,346,277,face_with_mask
279,3082.png,494,32,561,120,face_with_mask
280,3082.png,377,49,453,132,face_with_mask
282,3082.png,23,26,98,120,face_with_mask
291,3082.png,621,106,692,185,face_with_mask
292,3082.png,588,89,645,156,face_with_mask
294,1969.jpg,388,77,489,210,face_with_mask
295,1969.jpg,683,104,784,242,face_with_mask
302,5119.png,81,7,322,319,face_with_mask
310,2828.png,3,0,535,331,face_with_mask
314,3467.png,638,6,892,289,face_with_mask
315,3467.png,218,41,367,235,face_with_mask
322,3466.png,464,124,611,304,face_with_mask
323,3466.png,263,164,338,328,face_with_mask
329,2028.jpg,300,113,603,493,face_with_mask
348,3748.png,239,28,624,551,face_with_mask
350,3121.png,233,21,429,264,face_with_mask
353,3355.png,136,259,276,408,face_with_mask
365,4437.png,245,89,443,323,face_with_mask
367,4507.png,172,13,366,249,face_with_mask
377,4406.png,278,42,522,405,face_with_mask
378,4406.png,4,146,258,481,face_with_mask
389,3877.png,388,137,681,515,face_with_mask
390,3877.png,238,161,420,417,face_with_mask
391,3877.png,2,58,245,412,face_with_mask
395,2431.png,453,254,525,387,face_with_mask
396,2431.png,285,261,376,376,face_with_mask
397,2431.png,367,218,443,305,face_with_mask
398,2431.png,284,192,327,241,face_with_mask
405,2431.png,439,177,478,221,face_with_mask
406,2431.png,329,206,380,277,face_with_mask
407,2016.jpg,1330,627,1610,955,face_with_mask
408,2016.jpg,886,649,1111,928,face_with_mask
409,2016.jpg,442,484,716,864,face_with_mask
410,2016.jpg,1601,314,1791,542,face_with_mask
411,2016.jpg,727,268,997,591,face_with_mask
412,2016.jpg,0,200,241,516,face_with_mask
413,2016.jpg,1076,196,1246,432,face_with_mask
414,2016.jpg,1918,321,2109,594,face_with_mask
427,2016.jpg,1351,376,1542,605,face_with_mask
431,2016.jpg,540,202,747,470,face_with_mask
432,2016.jpg,296,346,542,641,face_with_mask
435,4223.png,3,2,872,700,face_with_mask
437,4223.png,34,2,907,686,face_with_mask
439,6424.png,69,28,381,442,face_with_mask
442,4920.png,37,100,230,318,face_with_mask
444,5027.jpg,365,12,526,203,face_with_mask
450,3225.png,25,19,331,423,face_with_mask
455,3542.png,83,70,459,531,face_with_mask
458,2433.png,30,204,169,367,face_with_mask
462,2433.png,436,70,555,183,face_with_mask
471,1990.jpg,79,317,223,476,face_with_mask
474,1990.jpg,0,371,46,533,face_with_mask
480,3624.png,197,24,533,500,face_with_mask
483,3624.png,429,23,511,119,face_with_mask
489,4827.png,292,195,386,263,face_with_mask
494,4644.png,296,9,380,117,face_with_mask
496,3626.png,177,0,572,388,face_with_mask
498,4293.png,86,22,361,399,face_with_mask
501,3894.png,161,21,553,554,face_with_mask
503,2766.png,163,5,577,563,face_with_mask
505,3110.png,163,125,226,209,face_with_mask
508,2473.png,295,4,459,180,face_with_mask
510,2162.png,172,15,392,329,face_with_mask
526,5098.jpeg,41,2,123,92,face_with_mask
527,5098.jpeg,161,8,203,71,face_with_mask
528,5098.jpeg,203,7,249,90,face_with_mask
529,5098.jpeg,279,76,305,112,face_with_mask
530,5098.jpeg,316,70,341,105,face_with_mask
538,5098.jpeg,348,93,369,113,face_with_mask
539,5098.jpeg,276,62,298,80,face_with_mask
544,3838.png,104,23,457,516,face_with_mask
551,4296.png,554,95,599,155,face_with_mask
553,4296.png,2,86,80,257,face_with_mask
555,4296.png,550,96,601,153,face_with_mask
557,4296.png,782,135,850,217,face_with_mask
558,3797.png,58,5,349,323,face_with_mask
561,2598.png,218,3,586,322,face_with_mask
568,4714.png,200,169,299,269,face_with_mask
578,3276.png,25,0,400,439,face_with_mask
584,2579.png,215,10,533,472,face_with_mask
587,3863.png,265,150,389,317,face_with_mask
590,3863.png,0,161,40,273,face_with_mask
591,3863.png,73,171,132,272,face_with_mask
598,3158.png,76,11,262,265,face_with_mask
601,2904.png,270,210,311,265,face_with_mask
602,2904.png,418,176,459,229,face_with_mask
603,2904.png,12,211,54,263,face_with_mask
610,2904.png,307,193,337,233,face_with_mask
612,1874.jpg,688,1667,2113,3113,face_with_mask
617,5077.jpg,249,221,537,653,face_with_mask
618,5077.jpg,537,164,626,268,face_with_mask
623,3157.png,14,3,614,438,face_with_mask
625,3319.png,5,3,433,496,face_with_mask
626,3319.png,439,8,715,439,face_with_mask
629,2363.png,147,207,281,366,face_with_mask
631,2668.png,248,56,410,251,face_with_mask
632,2668.png,444,117,584,300,face_with_mask
635,2143.jpg,257,74,728,623,face_with_mask
636,2143.jpg,805,124,1079,542,face_with_mask
637,2143.jpg,1030,30,1726,969,face_with_mask
642,2143.jpg,2011,430,2124,661,face_with_mask
652,3635.png,931,187,1069,370,face_with_mask
653,3635.png,551,187,694,378,face_with_mask
659,3635.png,340,230,450,370,face_with_mask
663,3635.png,1059,193,1124,308,face_with_mask
666,2269.png,162,21,273,204,face_with_mask
669,2327.png,455,78,492,118,face_with_mask
673,3588.png,387,1,625,243,face_with_mask
676,2638.png,113,138,422,619,face_with_mask
678,3494.png,354,8,452,132,face_with_mask
679,3494.png,809,18,892,134,face_with_mask
680,3494.png,12,81,127,228,face_with_mask
685,3203.png,249,4,507,325,face_with_mask
689,4199.png,440,178,715,575,face_with_mask
690,4199.png,142,5,314,198,face_with_mask
693,2037.jpg,366,81,620,392,face_with_mask
694,2037.jpg,16,115,256,399,face_with_mask
698,4397.png,334,8,901,541,face_with_mask
700,2189.png,218,81,351,244,face_with_mask
702,3465.png,210,5,448,266,face_with_mask
709,4177.png,255,138,417,334,face_with_mask
710,4177.png,543,19,685,190,face_with_mask
715,2760.png,116,5,526,539,face_with_mask
717,3371.png,438,206,506,285,face_with_mask
723,3226.png,102,33,515,597,face_with_mask
725,4542.png,397,33,560,221,face_with_mask
729,5155.jpg,783,64,953,261,face_with_mask
730,5155.jpg,225,0,400,185,face_with_mask
731,5155.jpg,373,0,497,182,face_with_mask
739,5155.jpg,918,31,1036,166,face_with_mask
745,2673.png,315,153,441,363,face_with_mask
747,3072.png,60,7,538,489,face_with_mask
753,4342.png,10,102,374,526,face_with_mask
757,3414.png,80,9,223,186,face_with_mask
760,3134.png,248,6,489,348,face_with_mask
766,4557.png,208,99,263,174,face_with_mask
768,4557.png,369,0,400,49,face_with_mask
771,4649.png,624,11,978,459,face_with_mask
775,2605.png,369,126,414,189,face_with_mask
781,2806.png,313,101,377,190,face_with_mask
783,2634.png,267,6,406,147,face_with_mask
791,4371.png,94,5,403,400,face_with_mask
796,4696.png,447,61,529,174,face_with_mask
799,3309.png,184,171,251,258,face_with_mask
800,3309.png,301,125,373,214,face_with_mask
805,4439.png,63,15,560,597,face_with_mask
820,2170.png,203,65,485,431,face_with_mask
823,3514.png,171,103,381,306,face_with_mask
825,4200.png,98,58,489,521,face_with_mask
827,2466.png,13,6,287,285,face_with_mask
829,2148.jpg,557,106,697,266,face_with_mask
842,3685.png,493,41,816,417,face_with_mask
843,3685.png,0,65,208,440,face_with_mask
850,5463.jpg,478,9,1357,1007,face_with_mask
856,3104.png,344,64,558,247,face_with_mask
863,2012.jpg,91,158,316,447,face_with_mask
871,2352.png,231,164,414,446,face_with_mask
872,2352.png,6,11,261,470,face_with_mask
877,4262.png,317,11,583,325,face_with_mask
879,2841.png,422,4,957,519,face_with_mask
882,2177.png,387,130,525,321,face_with_mask
885,4130.png,140,30,513,510,face_with_mask
890,4495.png,242,208,296,279,face_with_mask
892,3692.png,232,179,342,309,face_with_mask
893,3692.png,765,150,847,255,face_with_mask
897,4043.png,40,23,392,461,face_with_mask
898,4043.png,365,60,516,272,face_with_mask
902,2704.png,110,36,482,487,face_with_mask
904,4966.png,253,8,549,427,face_with_mask
907,2293.png,417,353,458,395,face_with_mask
908,2293.png,532,335,627,426,face_with_mask
914,2293.png,680,340,759,427,face_with_mask
915,3124.png,355,100,460,243,face_with_mask
929,3942.png,572,97,658,213,face_with_mask
931,2046.jpg,618,153,830,401,face_with_mask
934,2048.jpg,428,291,550,477,face_with_mask
936,2048.jpg,273,236,457,444,face_with_mask
945,5110.jpg,248,71,615,535,face_with_mask
947,4407.png,56,6,389,382,face_with_mask
950,2236.png,165,3,620,536,face_with_mask
954,5356.jpg,902,175,1171,506,face_with_mask
955,1924.jpg,555,78,795,386,face_with_mask
957,1924.jpg,884,241,1078,468,face_with_mask
959,1924.jpg,185,248,353,448,face_with_mask
962,2980.png,244,56,441,282,face_with_mask
975,4325.png,301,87,341,150,face_with_mask
976,4325.png,155,88,213,156,face_with_mask
977,4325.png,86,85,153,176,face_with_mask
978,4325.png,367,88,452,189,face_with_mask
989,5440.jpg,363,2,1017,601,face_with_mask
1000,4894.png,44,211,335,620,face_with_mask
1002,3141.png,105,110,378,499,face_with_mask
1006,2719.png,404,47,835,637,face_with_mask
1008,1828.jpg,157,62,837,1079,face_with_mask
1010,2405.png,404,157,472,237,face_with_mask
1022,3294.png,409,272,468,340,face_with_mask
1029,4134.png,295,85,347,159,face_with_mask
1030,4134.png,393,144,444,204,face_with_mask
1041,3887.png,83,181,189,291,face_with_mask
1044,4278.png,275,144,411,315,face_with_mask
1049,1849.jpg,435,58,544,195,face_with_mask
1051,1849.jpg,408,13,554,181,face_with_mask
1056,5150.jpg,364,46,550,295,face_with_mask
1057,5150.jpg,94,46,309,327,face_with_mask
1063,3711.png,66,82,410,521,face_with_mask
1065,4413.png,280,54,605,459,face_with_mask
1070,4214.png,379,20,525,197,face_with_mask
1071,4214.png,561,67,686,203,face_with_mask
1075,4214.png,383,20,523,195,face_with_mask
1077,4214.png,558,67,691,204,face_with_mask
1078,2471.png,156,29,270,177,face_with_mask
1080,3396.png,93,7,641,610,face_with_mask
1085,2791.png,207,63,339,240,face_with_mask
1087,2398.png,107,46,424,424,face_with_mask
1089,2935.png,390,0,445,85,face_with_mask
1096,2935.png,73,245,215,362,face_with_mask
1104,3578.png,213,20,415,311,face_with_mask
1116,3540.png,93,0,620,601,face_with_mask
1118,4912.png,346,20,503,216,face_with_mask
1120,4301.png,155,182,249,298,face_with_mask
1121,4301.png,323,137,547,470,face_with_mask
1125,3727.png,274,151,349,243,face_with_mask
1126,3727.png,208,91,268,180,face_with_mask
1127,3727.png,439,114,514,205,face_with_mask
1128,3727.png,108,171,238,315,face_with_mask
1144,3727.png,496,141,525,243,face_with_mask
1150,2740.png,138,188,284,371,face_with_mask
1154,4834.png,125,0,332,210,face_with_mask
1166,3515.png,391,317,425,350,face_with_mask
1168,2741.png,219,163,296,250,face_with_mask
1171,2741.png,333,65,388,118,face_with_mask
1174,2741.png,39,146,74,191,face_with_mask
1175,2741.png,460,174,515,258,face_with_mask
1176,2741.png,269,125,294,163,face_with_mask
1177,2741.png,0,142,28,176,face_with_mask
1186,4114.png,336,138,640,530,face_with_mask
1187,4114.png,69,5,353,264,face_with_mask
1193,4598.png,82,213,385,654,face_with_mask
1195,1950.jpg,680,8,838,223,face_with_mask
1196,1950.jpg,403,51,489,152,face_with_mask
1204,3758.png,112,4,455,441,face_with_mask
1206,4081.png,366,75,418,152,face_with_mask
1207,4081.png,179,49,242,130,face_with_mask
1210,2178.png,8,0,303,327,face_with_mask
1212,3307.png,221,32,316,161,face_with_mask
1215,3020.png,361,58,434,143,face_with_mask
1216,3020.png,580,41,655,127,face_with_mask
1222,3020.png,451,57,525,134,face_with_mask
1225,3687.png,147,87,230,201,face_with_mask
1226,3687.png,244,133,301,217,face_with_mask
1228,3687.png,5,145,63,264,face_with_mask
1243,3394.png,185,6,613,410,face_with_mask
1248,3895.png,403,178,439,222,face_with_mask
1254,4836.png,658,9,1144,660,face_with_mask
1257,2151.jpg,79,66,200,162,face_with_mask
1258,2151.jpg,518,44,582,113,face_with_mask
1259,2151.jpg,581,54,636,132,face_with_mask
1260,2151.jpg,472,109,549,188,face_with_mask
1272,5202.jpg,314,49,506,299,face_with_mask
1277,3161.png,128,1,521,551,face_with_mask
1281,3904.png,503,151,598,303,face_with_mask
1283,4970.png,14,4,514,607,face_with_mask
1286,4686.png,182,0,541,547,face_with_mask
1288,4071.png,331,115,371,219,face_with_mask
1292,4071.png,571,5,676,110,face_with_mask
1293,5154.jpeg,603,19,901,471,face_with_mask
1297,4340.png,210,41,467,352,face_with_mask
1302,2018.jpg,1365,415,1500,879,face_with_mask
1313,3529.png,91,2,693,616,face_with_mask
1315,3691.png,158,90,214,175,face_with_mask
1318,2069.jpg,312,223,694,728,face_with_mask
1323,4405.png,544,6,639,74,face_with_mask
1325,3189.png,316,11,398,123,face_with_mask
1327,3971.png,353,31,617,271,face_with_mask
1328,3971.png,392,312,577,494,face_with_mask
1334,3461.png,228,183,339,339,face_with_mask
1335,3461.png,614,78,737,250,face_with_mask
1339,3312.png,251,111,321,195,face_with_mask
1340,3312.png,83,70,131,135,face_with_mask
1341,3312.png,452,86,482,161,face_with_mask
1350,3312.png,249,24,291,87,face_with_mask
1351,3535.png,12,0,415,427,face_with_mask
1354,3703.png,148,1,608,545,face_with_mask
1361,2496.png,357,26,469,192,face_with_mask
1362,2496.png,186,170,300,306,face_with_mask
1369,5713.jpg,378,41,858,535,face_with_mask
1370,3183.png,134,32,245,183,face_with_mask
1373,3788.png,210,78,243,122,face_with_mask
1374,3788.png,115,107,151,149,face_with_mask
1382,3751.png,60,18,422,460,face_with_mask
1384,3759.png,127,5,627,608,face_with_mask
1388,4720.png,402,97,520,237,face_with_mask
1391,2329.png,240,208,286,270,face_with_mask
1393,4767.png,547,51,634,167,face_with_mask
1394,4767.png,469,81,537,186,face_with_mask
1395,4767.png,122,184,186,268,face_with_mask
1396,4767.png,1,95,59,212,face_with_mask
1402,4767.png,431,149,458,227,face_with_mask
1403,3390.png,54,127,385,632,face_with_mask
1407,5167.jpg,393,126,674,420,face_with_mask
1409,4229.png,91,0,345,377,face_with_mask
1411,4063.png,262,7,647,468,face_with_mask
1418,2058.jpg,216,92,387,320,face_with_mask
1419,2058.jpg,586,9,740,189,face_with_mask
1425,1917.jpg,83,28,232,196,face_with_mask
1432,2566.png,240,110,375,266,face_with_mask
1433,2566.png,486,81,613,244,face_with_mask
1440,4613.png,338,79,434,211,face_with_mask
1441,4613.png,254,101,338,232,face_with_mask
1442,4613.png,156,105,275,260,face_with_mask
1443,4613.png,0,21,177,250,face_with_mask
1452,4468.png,163,155,499,590,face_with_mask
1460,5228.jpeg,103,79,209,207,face_with_mask
1461,5228.jpeg,388,77,532,271,face_with_mask
1462,5228.jpeg,600,271,872,478,face_with_mask
1472,4419.png,82,8,467,425,face_with_mask
1475,4614.png,572,126,887,531,face_with_mask
1478,3101.png,123,6,527,524,face_with_mask
1480,3533.png,111,0,357,274,face_with_mask
1483,4572.png,204,11,694,402,face_with_mask
1487,4779.png,200,90,254,169,face_with_mask
1493,3509.png,107,142,254,284,face_with_mask
1494,3509.png,294,123,448,306,face_with_mask
1499,3783.png,241,200,318,294,face_with_mask
1501,2853.png,320,64,420,202,face_with_mask
1503,2768.png,33,73,502,669,face_with_mask
1507,4255.png,147,8,567,478,face_with_mask
1514,4260.png,210,11,613,548,face_with_mask
1516,3618.png,2,1,727,810,face_with_mask
1524,5174.jpg,300,44,714,486,face_with_mask
1531,3964.png,92,49,418,526,face_with_mask
1533,3450.png,114,26,495,583,face_with_mask
1535,2800.png,165,12,254,98,face_with_mask
1539,1880.jpg,1559,124,4342,3301,face_with_mask
1541,3136.png,321,62,391,160,face_with_mask
1548,4917.png,346,84,446,225,face_with_mask
1558,3279.png,308,134,551,446,face_with_mask
1560,5217.jpg,1130,1205,1875,2038,face_with_mask
1562,2399.png,95,154,401,619,face_with_mask
1564,2948.png,250,49,383,213,face_with_mask
1567,3351.png,212,104,259,168,face_with_mask
1568,3351.png,27,72,89,140,face_with_mask
1574,2193.png,79,9,422,413,face_with_mask
1575,2193.png,363,200,652,616,face_with_mask
1581,1891.jpg,255,3,517,354,face_with_mask
1584,4069.png,230,37,331,172,face_with_mask
1588,2776.png,165,72,478,400,face_with_mask
1591,4853.png,6,6,249,380,face_with_mask
1592,4853.png,243,242,338,400,face_with_mask
1598,4853.png,319,230,386,295,face_with_mask
1599,4853.png,581,235,645,324,face_with_mask
1600,4853.png,593,437,693,577,face_with_mask
1602,5219.jpg,428,8,483,67,face_with_mask
1603,5219.jpg,324,45,373,103,face_with_mask
1604,5219.jpg,197,42,242,91,face_with_mask
1605,5219.jpg,317,156,358,223,face_with_mask
1615,5219.jpg,9,0,67,64,face_with_mask
1617,4131.png,125,130,365,447,face_with_mask
1621,2203.png,52,34,383,503,face_with_mask
1624,2639.png,158,1,899,619,face_with_mask
1628,2408.png,225,77,456,430,face_with_mask
1630,2537.png,456,80,781,494,face_with_mask
1637,2762.png,51,1,609,611,face_with_mask
1641,5397.jpg,601,110,1314,1155,face_with_mask
1643,5243.jpg,746,182,3084,2662,face_with_mask
1647,1838.jpg,682,132,755,220,face_with_mask
1648,1838.jpg,570,95,648,189,face_with_mask
1649,1838.jpg,403,80,482,175,face_with_mask
1650,1838.jpg,256,90,328,179,face_with_mask
1658,1962.png,127,102,455,530,face_with_mask
1668,4865.png,463,250,528,335,face_with_mask
1669,4865.png,208,126,258,194,face_with_mask
1673,3370.png,244,113,340,251,face_with_mask
1676,4700.png,365,102,491,264,face_with_mask
1680,1899.jpeg,157,70,371,311,face_with_mask
1682,4695.png,665,123,750,236,face_with_mask
1684,3928.png,198,52,283,169,face_with_mask
1699,3439.png,203,6,645,436,face_with_mask
1701,5102.jpg,249,5,356,134,face_with_mask
1714,1974.jpg,1050,51,1613,691,face_with_mask
1715,1974.jpg,264,263,776,830,face_with_mask
1721,4410.png,22,162,297,499,face_with_mask
1722,4410.png,288,183,487,455,face_with_mask
1725,3912.png,161,47,495,520,face_with_mask
1729,4286.png,61,6,463,508,face_with_mask
1733,4868.png,523,177,640,315,face_with_mask
1734,4868.png,120,180,228,309,face_with_mask
1737,5159.jpg,1330,557,1663,902,face_with_mask
1738,5159.jpg,2607,753,2958,1187,face_with_mask
1742,6395.jpeg,269,43,646,498,face_with_mask
1748,3622.png,386,79,489,203,face_with_mask
1751,4338.png,167,19,493,439,face_with_mask
1759,5116.jpg,303,95,489,317,face_with_mask
1766,2833.png,211,5,578,490,face_with_mask
1771,1912.jpg,501,51,573,140,face_with_mask
1773,1912.jpg,506,37,594,125,face_with_mask
1774,3799.png,416,55,550,254,face_with_mask
1776,5157.jpg,271,17,559,436,face_with_mask
1778,4357.png,202,123,246,184,face_with_mask
1786,4491.png,0,117,125,357,face_with_mask
1787,4491.png,112,160,254,397,face_with_mask
1792,4491.png,408,109,503,238,face_with_mask
1794,2158.png,137,26,556,567,face_with_mask
1797,2418.png,225,5,481,312,face_with_mask
1802,2728.png,154,5,469,386,face_with_mask
1808,2983.png,226,3,698,484,face_with_mask
1811,1843.jpg,251,135,730,667,face_with_mask
1819,3376.png,26,223,83,301,face_with_mask
1820,3376.png,76,182,135,256,face_with_mask
1821,3376.png,191,194,254,270,face_with_mask
1822,3376.png,281,203,340,278,face_with_mask
1823,3376.png,363,198,420,284,face_with_mask
1824,3376.png,418,210,463,269,face_with_mask
1839,4165.png,330,195,540,392,face_with_mask
1842,2716.png,129,47,276,262,face_with_mask
1845,2860.png,374,81,440,160,face_with_mask
1846,2860.png,405,233,457,291,face_with_mask
1850,2860.png,148,111,188,156,face_with_mask
1851,2860.png,9,98,57,156,face_with_mask
1857,5064.jpg,142,23,476,455,face_with_mask
1858,5064.jpg,764,136,985,445,face_with_mask
1859,5064.jpg,977,32,1363,591,face_with_mask
1866,2557.png,87,34,538,447,face_with_mask
1870,2233.png,309,101,449,253,face_with_mask
1877,6430.png,370,0,559,235,face_with_mask
1878,3440.png,88,32,485,539,face_with_mask
1882,4692.png,170,50,542,546,face_with_mask
1884,4913.png,103,10,468,418,face_with_mask
1889,3974.png,655,14,957,459,face_with_mask
1890,3974.png,214,94,567,468,face_with_mask
1895,2877.png,413,29,532,173,face_with_mask
1899,2227.png,364,111,498,279,face_with_mask
1906,4934.png,422,25,503,123,face_with_mask
1909,2939.png,192,1,318,197,face_with_mask
1916,3675.png,140,6,304,174,face_with_mask
1917,3675.png,405,166,565,378,face_with_mask
1923,3176.png,331,253,391,321,face_with_mask
1926,3176.png,158,323,174,339,face_with_mask
1927,3176.png,441,330,448,340,face_with_mask
1933,3126.png,248,4,391,219,face_with_mask
1934,3126.png,592,37,831,328,face_with_mask
1937,4713.png,497,239,574,326,face_with_mask
1945,3385.png,163,26,480,458,face_with_mask
1948,4677.png,297,16,359,103,face_with_mask
1949,4677.png,506,11,577,85,face_with_mask
1956,3660.png,237,97,466,435,face_with_mask
1957,3660.png,6,112,205,363,face_with_mask
1963,3612.png,24,201,107,307,face_with_mask
1964,3612.png,97,230,170,331,face_with_mask
1965,3612.png,316,266,373,335,face_with_mask
1966,3612.png,173,270,218,336,face_with_mask
1972,3083.png,328,174,394,252,face_with_mask
1977,4991.jpg,412,25,815,608,face_with_mask
1979,3947.png,91,3,508,568,face_with_mask
1988,1983.jpg,435,82,642,323,face_with_mask
1991,4113.png,409,59,564,287,face_with_mask
1994,3997.png,96,28,403,353,face_with_mask
2000,3064.png,97,116,196,241,face_with_mask
2002,3064.png,509,230,592,356,face_with_mask
2006,3779.png,305,111,335,150,face_with_mask
2014,1971.jpg,263,33,391,181,face_with_mask
2019,2296.png,373,15,546,199,face_with_mask
2022,2053.jpg,520,68,657,231,face_with_mask
2023,2053.jpg,304,37,471,210,face_with_mask
2024,2053.jpg,57,135,212,321,face_with_mask
2025,3486.png,173,0,540,402,face_with_mask
2027,1986.jpg,210,269,700,918,face_with_mask
2028,1986.jpg,820,30,1480,785,face_with_mask
2038,2688.png,230,7,632,312,face_with_mask
2041,3410.png,426,57,531,196,face_with_mask
2043,4148.png,275,5,722,534,face_with_mask
2047,2448.png,106,113,131,149,face_with_mask
2048,2448.png,173,122,208,162,face_with_mask
2049,2448.png,337,118,371,154,face_with_mask
2057,2448.png,244,126,277,165,face_with_mask
2067,4044.png,586,116,731,307,face_with_mask
2069,3350.png,259,78,369,206,face_with_mask
2070,3350.png,454,7,559,149,face_with_mask
2071,3350.png,624,5,740,142,face_with_mask
2080,3350.png,88,91,204,211,face_with_mask
2081,3350.png,777,98,811,214,face_with_mask
2086,5019.jpg,100,109,239,292,face_with_mask
2096,3553.png,180,69,370,336,face_with_mask
2103,2502.png,430,85,581,242,face_with_mask
2105,4545.png,174,8,697,485,face_with_mask
2111,4212.png,348,4,744,528,face_with_mask
2113,4212.png,315,2,739,529,face_with_mask
2115,3579.png,207,143,272,228,face_with_mask
2116,3579.png,301,103,383,202,face_with_mask
2117,3579.png,420,309,495,400,face_with_mask
2121,5193.jpg,3460,33,4737,1798,face_with_mask
2124,2279.png,82,180,357,432,face_with_mask
2131,2279.png,0,9,77,301,face_with_mask
2132,3014.png,318,8,416,161,face_with_mask
2134,5065.jpg,1519,1148,2521,2666,face_with_mask
2139,3120.png,135,285,163,319,face_with_mask
2140,3120.png,400,282,415,304,face_with_mask
2146,4358.png,374,44,510,215,face_with_mask
2148,4846.png,254,145,412,371,face_with_mask
2161,4444.png,269,142,369,274,face_with_mask
2172,1976.jpg,778,99,1338,793,face_with_mask
2174,2842.png,86,0,519,443,face_with_mask
2191,3071.png,159,48,403,322,face_with_mask
2194,4365.png,234,1,359,146,face_with_mask
2195,4365.png,35,204,292,532,face_with_mask
2196,4365.png,1,122,110,299,face_with_mask
2203,3839.png,61,135,334,455,face_with_mask
2205,3878.png,78,64,397,503,face_with_mask
2206,3878.png,364,256,604,576,face_with_mask
2212,4859.png,298,48,388,164,face_with_mask
2214,2173.png,212,50,413,324,face_with_mask
2218,4607.png,408,186,682,585,face_with_mask
2221,4995.jpg,186,70,291,232,face_with_mask
2223,2500.png,373,13,484,157,face_with_mask
2226,3295.png,481,57,575,160,face_with_mask
2231,3184.png,244,87,458,310,face_with_mask
2232,3184.png,119,88,213,199,face_with_mask
2240,6421.png,271,23,436,290,face_with_mask
2241,3869.png,266,68,469,352,face_with_mask
2247,4424.png,352,38,526,228,face_with_mask
2250,4146.png,81,68,543,514,face_with_mask
2252,2890.png,16,88,157,264,face_with_mask
2254,3852.png,84,3,575,600,face_with_mask
2260,2344.png,155,132,238,227,face_with_mask
2261,2344.png,528,44,614,173,face_with_mask
2267,2734.png,378,100,427,165,face_with_mask
2277,4907.png,178,112,535,582,face_with_mask
